	Molecule
24	Cc1nc(C(=O)Nc2ccc(cc2)N2CCCS2(=O)=O)c(C)s1
25	Brc1ccc2n(CCNC(=O)CCNc3ncccn3)ccc2c1
26	Cc1n[nH]c(C)c1CCC(=O)N1CCN(CC1)[C@@H](c1ccccc1)c1ccc(Cl)cc1
27	Cc1ccc2c(cc(=O)oc2c1)-c1cc2c(CN3CC[NH+](CCc4ccncc4)CC3)cnc(C)c2o1
28	CC(C)c1sc(Cl)nc1C(=O)Nc1nc2CCCCc2s1
29	CC(C)CNC(=O)c1cccc(NC(=O)N2CCN(CC2)c2cccc[nH+]2)c1
30	C1CC(C1)c1nc2nccc(-c3cccnc3)n2n1
31	CC(C)c1sc(Br)nc1C(=O)NCc1ccccn1
32	COc1ccc(cc1OCC(N)=O)[C@H]1CC(=O)Oc2cc(C)[nH]c(=O)c12
33	Cc1nc2ccc(F)cc2c(=O)n1CC(=O)Nc1ccc(cc1)N1CCCS1(=O)=O
34	COc1ccc(cc1OC)[C@H]1CC(O)=Nc2c1c(=O)[nH]n2C1CCOCC1
35	Oc1nn(C2CCCC2)c2nc3c4ccc(O)cc4oc3c(-c3cc4cc5OCOc5cc4[nH]c3=O)c12
36	Cc1cc(sc1C)-c1nn2c(nnc2s1)-c1snnc1C
37	Cc1cc(on1)-c1nn2c(nnc2s1)-c1cc(Cl)ccc1Cl
38	O=C(CCn1cnc2ccccc2c1=O)Nc1nc(n[nH]1)[C@@H]1CCCO1
39	CC[NH+]1CCC[C@H]1CNC(=O)CNC(=O)c1cnccn1
40	COc1ccc(CCc2n[nH]c(NC(=O)c3nn(C)c(=O)c4ccccc34)n2)cc1
41	COc1ccccc1-c1cc(n[nH]1)C(=O)N[C@@H]1CCOC(C)(C)C1
42	COc1ccccc1-c1cc(n[nH]1)C(=O)N[C@H]1CCOC(C)(C)C1
43	COC(=O)C[C@@H](CC(C)C)c1oc(CSc2ccccc2F)cc(=O)c1O
44	Cc1cc(-c2nnc3sc(nn23)-c2c(C)nn(C)c2C)n(C)n1
45	COC(=O)Cc1c(C)c2ccc(O)c(CN3CCN(CC3)c3cccc[nH+]3)c2oc1=O
46	COc1ccccc1N1CCN(CC1)C(=O)c1nc(Br)sc1C(C)C
47	O=C(Cn1cc(ncc1=O)-c1ccccc1)N1CCN(CCc2ccccn2)CC1
48	Cc1nn(C)c(C)c1-c1nnc2sc(nn12)-c1cccs1
49	COc1ccc(cc1)C(=O)CNC(=O)COc1ccccc1-n1cnnc1
50	O=C(NCc1ccco1)c1csc(NC2CC2)n1
51	Cc1cc(C)nc(Nc2cccc(c2)C(=O)NCCc2ccc(O)cc2)n1
52	CC(C)c1nnc(NC(=O)C[C@@H]2NC(=O)c3ccccc3N=C2O)s1
53	COc1ccc(NC(=O)[C@H]2CN(C(=O)C2)c2n[nH]c3ccccc23)cn1
54	Cc1cc(sc1C)-c1nn2c(nnc2s1)-c1c(Cl)cnn1C
55	COCCn1c(cc2ccccc12)C(=O)NCCc1nnc2ccccn12
56	O=C(NC1CCCC1)[C@@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
57	COc1ccc2nnc(CCCC(=O)N3CCC(Cc4ccccc4)CC3)n2n1
58	Cc1n[nH]c(C)c1CCC(=O)N1CCN(CCc2ccccn2)CC1
59	COc1ccc(cc1)C(=O)CNC(=O)[C@@H](CC(C)C)N1Cc2ccccc2C1=O
60	Oc1ccc2c(c1)oc1c(-c3ccc[nH]c3=O)c3c(nc21)n([nH]c3=O)C1CCCCC1
61	Clc1ccc2[nH]cc(CCNC(=O)c3[nH]nc4CCCc34)c2c1
62	Cc1cc(=O)c(OCC(=O)NC2CCN(CC2)C(=O)c2cc3ccccc3[nH]2)c[nH]1
63	Cc1nc(sc1C(=O)Nc1n[nH]c(n1)[C@@H]1CCCO1)-c1ccccc1
64	Cc1nc(sc1C(=O)Nc1n[nH]c(n1)[C@H]1CCCO1)-c1ccccc1
65	CN1[C@H]([C@@H](CC1=O)C(=O)Nc1ccncc1)c1ccc2OCOc2c1
66	CN1[C@@H]([C@H](CC1=O)C(=O)Nc1ccncc1)c1ccc2OCOc2c1
67	CN1[C@H]([C@H](CC1=O)C(=O)Nc1ccncc1)c1ccc2OCOc2c1
68	FC(F)(F)c1nnc2CN(CCn12)C(=O)C[C@@H](Cn1cnnn1)c1ccc(Cl)cc1
69	CC(C)c1sc(Cl)nc1C(=O)Nc1cccc(c1)C(=O)c1nccn1C
70	Cc1cc(=O)c(OCC(=O)Nc2cccc3n(Cc4cccc(F)c4)ccc23)c[nH]1
71	FC(F)(F)c1nnc2CN(CCn12)C(=O)c1cc([nH]n1)-c1ccccc1
72	COC(=O)C[C@H](c1ccc(O)cc1)c1oc(CSc2ccc(F)cc2F)cc(=O)c1[O-]
73	COc1cccc2n(CCC(=O)NCCc3nnc4ccccn34)ccc12
74	COc1cn(CC(=O)N2CCN(CC2)c2ccc(F)cc2)c(C)cc1=O
75	O=C(C[C@H]1C(=O)Nc2ccccc12)Nc1nc(cs1)-c1cccnc1
76	Cc1cc([O-])cc(=O)n1CCC(=O)Nc1ccc(F)c(F)c1F
77	OC1=N[C@@H](CC(=O)N2CCOCC2)C(=O)N1CCc1ccccc1
78	CC[NH+]1CCC[C@@H]1CNC(=O)c1cc(nn1C)-c1cccc(Cl)c1
79	COC(=O)c1[nH]\c(=N\C(=O)c2cc(n[nH]2)-c2ccc(OC)c(OC)c2)sc1C
80	COC(=O)C[C@H](c1cccs1)c1oc(C)cc(=O)c1O
81	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)NCCCN1CCOCC1
82	COc1ccc(cc1)C(=O)CNC(=O)Cn1ccc2c(OC)cccc12
83	CC(C)n1nc(C)c(NC(=O)c2[nH]nc3CCCc23)c1C
84	NS(=O)(=O)c1ccc(CNC(=O)[C@@H]2CN(C(=O)C2)c2n[nH]c3ccccc23)cc1
85	COc1cccc2n(CC(=O)NCCc3nnc4ccccn34)ccc12
86	O=C(NCCn1cnc2ccccc2c1=O)c1ccc2cc[nH]c2c1
87	Cc1nn(C)c(C)c1-c1cc([nH]n1)C(=O)Nc1nccs1
88	CSc1nc(N2CCN(CC(=O)c3ccccc3)CC2)c2COC(C)(C)Cc2c1C#N
89	C[NH+](C)CCCNC(=O)c1ccc2[nH]c3CCCCCc3c2c1
90	COc1ccc(cc1)C(=O)CNC(=O)[C@@H](c1ccccc1)n1cnnn1
91	COCCn1cnc2ccc(NC(=O)c3c[nH]c4ccccc4c3=O)cc2c1=O
92	COCCC[NH2+]Cc1cnc(C)c2oc(cc12)C(=O)c1ccc(Br)cc1
93	CC(C)Cn1nc(CC(=O)NCc2ccc(cc2)S(N)(=O)=O)c2ccccc2c1=O
94	Cc1nc2ncccc2c(=O)n1CCNC(=O)c1ccc(F)cc1
95	COc1ccc(CCc2n[n-]c(NC(=O)c3nc(C)sc3C)n2)cc1
96	COc1ccccc1-n1c(C)cc(C(=O)NCc2ccccn2)c1C
97	O=C(NCCCCCc1nnc2ccccn12)C1(CCCCC1)n1cnnn1
98	COc1ccc(CCc2nc3nccc(-c4ccncc4)n3n2)cc1OC
99	Oc1nn(C2CCCC2)c2nc3c4ccc(O)cc4oc3c(-c3ccc4OCOc4c3)c12
100	COCc1n[nH]c(n1)-c1ccc(NC(=O)c2cc([nH]n2)-c2ccccc2)cc1
101	FC(F)(F)c1n[n-]c(NC(=O)c2cc(nn2-c2ccccc2)C2CC2)n1
102	Cc1n[nH]c(c1CC(=O)NCCc1nc2ccccc2[nH]1)-c1ccc(Cl)cc1
103	Cc1cc(=O)c(OCC(=O)Nc2cccc3n(C)ccc23)c[nH]1
104	Cc1cc(on1)-c1nn2c(nnc2s1)-c1ccc(Cl)cc1Cl
105	Cc1cnc(NC(=O)c2cc(n[nH]2)-c2c(C)nn(C)c2C)s1
106	Oc1ccc(CCNC(=O)[C@H]2CN(C(=O)C2)c2n[nH]c3cc(Br)ccc23)cc1
107	COC(=O)C[C@@H](c1c(O)n[nH]c1C)c1ccccc1OCc1ccccn1
108	COc1cccc2n(CC(=O)N3CCCCCC3)ccc12
109	CC(C)c1sc(Cl)nc1C(=O)Nc1ccc(NC(C)=O)cc1
110	COc1ccc(CN2CCN(CC2)C(=O)c2nc(C)sc2C)c(OC)c1OC
111	COc1cccc2n(CCC(=O)\N=c3/[nH]nc([nH]3)[C@@H]3CCCO3)ccc12
112	CCOC(=O)c1s\c(=N/C(=O)COc2cn(C)c(C)cc2=O)[nH]c1C
113	COC(=O)c1[nH]\c(=N\C(=O)c2cc(nc3onc(C)c23)C(C)C)sc1C
114	OC1(CCN(CC1)C(=O)Cn1cnc2ccc(F)cc2c1=O)c1ccc(Cl)cc1
115	Cc1nn(C)c2nc(C)cc(C(=O)Nc3nc(n[n-]3)[C@H]3CCCO3)c12
116	Cc1c(C)c(=O)oc2cc(OCC(=O)Nc3cccc4[nH]ccc34)c(Cl)cc12
117	Cc1noc(C)c1-c1nn2c(nnc2s1)-c1ccccn1
118	CC(C)[C@H](NC(=O)N1CCN(CC1)c1ccc(Cl)cc1)C(=O)NC[C@@H]1CCCO1
119	CC(C)[C@H](NC(=O)N1CCN(CC1)c1ccc(Cl)cc1)C(=O)NC[C@H]1CCCO1
120	CC(C)[C@@H](NC(=O)N1CCN(CC1)c1ccc(Cl)cc1)C(=O)NC[C@H]1CCCO1
121	COc1cccc(c1)-c1cc(n[nH]1)C(=O)Nc1n[nH]c(CC(C)C)n1
122	COC(=O)c1[nH]\c(=N/C(=O)Cn2cc(OC)c(=O)cc2C)sc1-c1cccc(F)c1
123	Cn1cccc1CNC(=O)[C@@H]1CN(C(=O)C1)c1n[nH]c2ccccc12
124	CC(=O)Nc1cccc(NC(=O)C[C@H](Cn2cccc2)c2ccc(Cl)cc2)c1
125	CC(C)n1ccc2ccc(cc12)C(=O)Nc1nc[nH]n1
126	COCCn1cc(C(=O)Nc2nc[nH]n2)c2ccccc2c1=O
127	COc1ccc(CCc2n[nH]c(NC(=O)[C@H]3CN(C(=O)C3)c3ccccc3)n2)cc1
128	Clc1ccc(cc1)-c1cc(n[nH]1)C(=O)N1CCN(CCc2ccccn2)CC1
129	COc1ccc(CCc2nc3nccc(-c4cccc(OC)c4)n3n2)cc1
130	Cc1c(cnn1C)[C@H]1CC(=O)Oc2cc(C)[nH]c(=O)c12
131	COc1ccc(CNc2nc(cs2)C(=O)NCc2nnc3ccccn23)cc1
132	COCCCNC(=O)[C@H]1CCCN(C1)c1ccc(OC)nn1
133	Fc1ccc(Cc2n[nH]c(NC(=O)c3ccco3)n2)cc1
134	COc1cccc2n(CCNC(=O)CCNc3ncccn3)ccc12
135	COc1ccc([C@@H]2CC(=O)Oc3cc(C)[nH]c(=O)c23)c2ccccc12
136	COc1ccc([C@H]2CC(=O)Oc3cc(C)[nH]c(=O)c23)c2ccccc12
137	Cn1c(C[NH+]2CCc3ccccc3C2)cc(=O)c(O)c1CN1CCCCCC1
138	Cc1cn2c(ncc(C(=O)NCCc3c[nH+]c[nH]3)c2=O)s1
139	O=C(CC1(CCCCC1)n1cccc1)NCc1ccncc1
140	COCCn1ccc2ccc(cc12)C(=O)N1CCO[C@@H](C1)c1ccccc1
141	CC[NH+]1CCC[C@H]1CNC(=O)c1cn(CCOC)c(=O)c2ccccc12
142	COc1cccc2[nH]cc([C@@H](CC(=O)NCc3ccccc3)c3ccsc3)c12
143	Cc1cc(=O)c(OCC(=O)N2CCN(Cc3ccc4OCOc4c3)CC2)cn1C
144	CCOC(=O)c1cs\c(=N/C(=O)c2cc(nn2C)-c2ccc(OC)cc2)[nH]1
145	Cn1ccc2ccc(NC(=O)Cn3cnc4sccc4c3=O)cc12
146	Cc1nc(C(=O)N2CCN(CC2)S(C)(=O)=O)c(Cc2ccccc2)s1
147	COC(=O)c1[nH]\c(=N/C(=O)Cn2c(C)nc3ccc(F)cc3c2=O)sc1CC(C)C
148	Cn1nc(C(=O)Nc2nc(n[n-]2)C(F)(F)F)c2ccccc12
149	Cc1cccc(c1)-c1nc(CC(=O)N2CC[C@]3(O)CCCC[C@@H]3C2)cs1
150	COc1ccccc1-c1cc(n[nH]1)C(=O)N1CCN(CCc2ccncc2)CC1
151	COc1ccc(CNC(=O)Cn2cc(OC)c(=O)cc2C[NH+]2CCc3ccccc3C2)cc1
152	COc1cc2nc(C)n(CCNS(=O)(=O)c3cccs3)c(=O)c2cc1OC
153	CC[NH+]1CCC[C@@H]1CNC(=O)c1ccc2ccn(C(C)C)c2c1
154	O=C(CCC(=O)N1CCNC(=O)C1)N1CCN(CC1)c1ccccc1
155	Clc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)[C@@H](c1ccccc1)n1cnnn1
156	COC(=O)c1[nH]\c(=N\C(=O)c2sc3nc[nH]c(=O)c3c2C)sc1C(C)C
157	OC1=Nc2c([C@H](C1)c1ccc[nH]c1=O)c(=O)[nH]n2C1CCOCC1
158	CC(C)n1ccc2ccc(cc12)C(=O)N1CCN(CC1)S(C)(=O)=O
159	Cn1ncc(Cl)c1-c1nnc2sc(nn12)-c1ccco1
160	CC(C)CN1C[C@H](CC1=O)C(=O)Nc1ccc2C(=O)OCc2c1
161	OC1=N[C@@H](CC(=O)NCc2nnc3ccccn23)C(=O)N1CCc1ccccc1
162	OC1=N[C@@H](CC(=O)NCc2nc3ccccc3[nH]2)C(=O)N1CCc1ccccc1
163	OC1=N[C@H](CC(=O)NCc2nc3ccccc3[nH]2)C(=O)N1CCc1ccccc1
164	COc1ccc(CCc2n[nH]c(NC(=O)C[C@@H]3NC(=O)c4ccccc34)n2)cc1
165	Cc1nc(c(s1)C(=O)NCCc1nccs1)-c1ccccc1
166	COC(=O)c1[nH]\c(=N/C(=O)COc2c[nH]c(C)cc2=O)sc1-c1cccc(F)c1
167	COC(=O)CNC(=O)c1nc(Br)sc1C(C)C
168	FC(F)(F)c1ccc(NC(=O)c2[nH]nc3CCCc23)cn1
169	Brc1ccc2c(n[nH]c2c1)N1C[C@@H](CC1=O)C(=O)NC1CCCC1
170	CC(C)Cc1nc2ccc(NC(=O)c3n[nH]c4CCCc34)cc2[nH]1
171	COC(=O)[C@H](CC(C)C)NC(=O)Cc1nn(CC(C)C)c(=O)c2ccccc12
172	COc1cc(ccc1OCC(C)=C)-c1c2oc3cc(O)ccc3c2nc2n(nc(O)c12)C1CCCCC1
173	Cc1cc2oc(=O)cc(-c3cc4c(CN5CCOCC5)cnc(C)c4o3)c2cc1C
174	CC[NH+]1CCC[C@H]1CNC(=O)Cn1ccc2c(Br)cccc12
175	Clc1ccc(cc1)[C@@H](CC(=O)N1CCC(CC1)c1nnc2ccccn12)Cn1cccc1
176	Cc1nn(c2N=C(O)C[C@]3(C(=O)N(CC(=O)NC4CCCCC4)c4ccccc34)c12)-c1ncnc2[nH]cnc12
177	O=C(NCCc1ccncc1)C1CCN(CC1)c1ncnc2[nH]cnc12
178	CC(C)C[C@@H](N1Cc2ccccc2C1=O)C(=O)NCc1nnc2ccccn12
179	O=C(NCCCN1CCOCC1)[C@@H](c1ccccc1)n1cnnn1
180	CC(C)C[C@@H](N1Cc2ccccc2C1=O)C(=O)N1CCN(CCc2ccccn2)CC1
181	CC(C)c1sc(Cl)nc1C(=O)Nc1nc2ccccc2s1
182	COc1ccccc1-n1cc(C(=O)NCCN2CCOCC2)c2ccccc2c1=O
183	COc1ccc(Cc2nnc3sc(nn23)-c2cc(C)no2)cc1
184	COc1ccc(CN2C(O)=N[C@H](CC(=O)Nc3nccs3)C2=O)cc1
185	O=C(C[C@@H]1CC(=O)Oc2ccccc12)Nc1nnn[n-]1
186	CN(C)S(=O)(=O)N1CCN(Cc2c(O)c(=O)cc(C[NH+]3CCCCC3)n2C)CC1
187	Fc1ccc(cc1)-c1cc(n[nH]1)C(=O)Nc1nc[nH]n1
188	Cc1nn(C)c(C)c1-c1cc(n[nH]1)C(=O)Nc1ccn(C)n1
189	COc1ccc(CCc2n[nH]c(NC(=O)CCc3cn(C)c4ccccc34)n2)cc1OC
190	COc1ccc(cc1)-c1cc(C(=O)Nc2nc(n[nH]2)C2CC2)n(C)n1
191	CC(C)c1s\c(=N/C(=O)CCC(=O)Nc2nccs2)[nH]c1C([O-])=O
192	CC(C)(C)c1cc(cc(c1O)C(C)(C)C)[C@@H]1CC(O)=Nc2c1c(=O)[nH]n2C1CCOCC1
193	CC(C)(C)c1cc(cc(c1O)C(C)(C)C)[C@H]1CC(O)=Nc2c1c(=O)[nH]n2C1CCOCC1
194	CN1c2cccnc2Oc2ccc(NC(=O)c3ccccc3Cl)cc2C1=O
195	C[C@@H](C(=O)Nc1nc(cs1)-c1cccnc1)c1ccc(C[C@H]2CCCC2=O)cc1
196	CC(C)Cc1n[nH]c(NC(=O)c2cc(nc3onc(C)c23)-c2ccccc2)n1
197	Cc1n[nH]c(C)c1CCC(=O)Nc1nc(n[nH]1)C1CC1
198	Cn1nc(C(=O)NCCn2ccc3ccc(F)cc23)c2ccccc12
199	Cc1nn(C)c(C)c1-c1cc(n[nH]1)C(=O)N1CCO[C@@H](C1)c1ccccc1
200	Cc1cc(-c2nnc3sc(nn23)-c2cc(F)ccc2Cl)n(C)n1
201	O=C(Nc1nc2CCCc2s1)c1n[nH]c2CCCc12
202	Cc1c(cnc2ccnn12)C(=O)NCc1ccc(cc1)S(N)(=O)=O
203	COc1ccc(cc1)C(=O)Nc1ccc2Oc3ncccc3N(C)C(=O)c2c1
204	COc1ccccc1N1CCN(Cc2c(O)c(=O)cc(C[NH+]3CCCCC3)n2C)CC1
205	Cn1ncc(Cl)c1-c1nn2c(nnc2s1)-c1c(Cl)cnn1C
206	COC(=O)c1[nH]\c(=N\C(=O)Cn2nc(ccc2=O)-c2ccco2)sc1CC(C)C
207	O=C(NCCCc1nc2ccccc2[nH]1)[C@@H](c1ccccc1)n1cnnn1
208	COC(=O)c1[nH]\c(=N\C(=O)Cn2nc3CCCCCc3cc2=O)sc1C(C)C
209	Fc1ccc2ccn(CCNC(=O)CCc3ncc(o3)-c3ccccc3)c2c1
210	Cc1cc(-c2nnc3sc(nn23)-c2ccc(F)c(F)c2F)n(C)n1
211	O[C@@]12CCCC[C@@H]1CN(CC2)C(=O)[C@@H]1CCCN(C1)S(=O)(=O)c1ccccc1
212	CC(C)n1cc(CCCC(=O)NCc2nnc3ccccn23)c2ccccc12
213	COC(=O)c1[nH]\c(=N\C(=O)[C@@H](C)N2Cc3ccccc3C2=O)sc1C(C)C
214	CC(C)Cn1nc(CC(=O)N2CCOCC2)c2ccccc2c1=O
215	CC(C)c1nc2cc(NC(=O)[C@H](C)n3nnc4ccccc4c3=O)ccc2n1C
216	Cn1cccc1CNC(=O)[C@@H](c1ccccc1)n1cnnn1
217	CCOC(=O)N1CCN(Cc2cnc(C)c3oc(cc23)C(=O)c2ccc3OCCOc3c2)CC1
218	Cc1cc(C)n(n1)-c1ccc2nnc(CCCC(=O)NC3CCCCCC3)n2n1
219	COc1ccc(cc1)C1(CNC(=O)c2cccc(Nc3nc(C)cc(C)n3)c2)CCOCC1
220	O=C(CCN1Cc2ccccc2C1=O)Nc1nc(n[nH]1)[C@H]1CCCO1
221	CC(C)c1nc2cc(NC(=O)[C@@H](c3ccccc3)n3cnnn3)ccc2n1C
222	Cc1nc(C)c(s1)-c1nn2c(Cc3c(C)noc3C)nnc2s1
223	COc1ccc(cc1)-c1[nH]nc(C)c1CC(=O)NCCN1CCOCC1
224	COCCn1c(cc2ccccc12)C(=O)NCC(=O)c1ccc(OC)cc1
225	CC(C)c1nc(NC(=O)c2ccn3nnnc3c2)n[nH]1
226	Oc1ccccc1NC(=O)c1cn(-c2cc(F)c(F)c(F)c2)c(=O)c2ccccc12
227	COc1ccc2n(CCNC(=O)c3[nH]nc4CCCc34)ccc2c1
228	O=C(Cc1ccc2OCCCOc2c1)Nc1nc(n[nH]1)C1CC1
229	Cc1cc(on1)-c1nn2c(nnc2s1)-c1ccc(Cl)cc1
230	Cc1nc2ncccc2c(=O)n1CCNS(=O)(=O)c1ccccc1
231	CC1(C)C[C@@](CC[NH3+])(CCO1)c1ccc(Cl)cc1
232	COC(=O)COc1cc(ccc1OC)[C@@H]1CC(=O)Oc2cc(C)[nH]c(=O)c12
233	COC(=O)COc1cc(ccc1OC)[C@H]1CC(=O)Oc2cc(C)[nH]c(=O)c12
234	Cc1nc(C(=O)NCCCn2cc[nH+]c2)c(Cc2ccccc2)s1
235	CCOC(=O)N1CCN(Cc2cnc(C)c3oc(cc23)-c2cc(=O)oc3cc(C)ccc23)CC1
236	OC1=N[C@@H](CC(=O)N2CCN(C\C=C\c3ccccc3)CC2)C(=O)N1CCc1ccccc1
237	Clc1ccc(cc1)[C@H](CC(=O)N1CCC(CC1)c1nc2ccccc2[nH]1)Cn1cnnn1
238	Cn1nc(cc1C(=O)Nc1nc[nH]n1)-c1cccc(Cl)c1
239	COc1ccc2[nH]cc(CCNC(=O)Cc3c(C)n[nH]c3-c3ccc(Cl)cc3)c2c1
240	CC(C)Cc1nnc(NC(=O)CC[C@@H]2NC(=O)c3ccccc3N=C2O)s1
241	CC(C)Cn1cnc2ccc(NC(=O)CCCCCn3cnc4ccccc4c3=O)cc2c1=O
242	CC[NH+]1CCC[C@H]1CNC(=O)CCn1ccc2c(OC)cccc12
243	Cc1cc(C)nc(NCCCC(=O)N2CCN(CC2)S(C)(=O)=O)n1
244	COc1ccc(Cc2nc3nccc(-c4ccc(SC)cc4)n3n2)cc1
245	O=C(COc1ccc2c(cc(=O)oc2c1)-c1ccccc1)N1CCC(CC1)c1nnc2ccccn12
246	O=C(Nc1nc(cs1)-c1ccccn1)c1cc([nH]n1)-c1cccs1
247	NC(=O)COc1coc(C[NH+]2CCC(CC2)c2ccccc2)cc1=O
248	COc1ccc2[nH]cc(CCNC(=O)Cn3c(C)nc4ccc(F)cc4c3=O)c2c1
249	COc1cccc2n(CCNC(=O)CCNc3nc(C)cc(C)n3)ccc12
250	Clc1ccc(cc1)[C@H](CC(=O)N1CCC(CC1)c1nnc2ccccn12)Cn1cnnn1
251	O=C(Cc1ccc(cc1)-n1cnnn1)Nc1nnc(s1)[C@@H]1CCCO1
252	O=C(Cc1ccc(cc1)-n1cnnn1)Nc1nnc(s1)[C@H]1CCCO1
253	Cc1c(nn2c(ccnc12)-c1ccncc1)-c1ccc(F)cc1
254	COC(=O)C[C@@H](c1ccnn1C(C)C)c1oc(CSc2ccccc2)cc(=O)c1O
255	COc1ccc(CCc2nc3nccc(-c4ccco4)n3n2)cc1OC
256	COc1ccccc1-c1ccc(=O)n(CC(=O)N2CCO[C@@H](C2)c2ccccc2)n1
257	COc1ccccc1-c1ccc(=O)n(CC(=O)N2CCO[C@H](C2)c2ccccc2)n1
258	COc1ccc(cc1OC)-c1ccnc2nc(Cc3ccc(F)cc3)nn12
259	Cc1cc(on1)-c1nn2c(nnc2s1)-c1ccc(F)cc1
260	Clc1ccc(cc1)[C@@H](CC(=O)NCCc1ccccn1)Cn1cccc1
261	COc1ccc(CCNC(=O)[C@H]2CN(C(=O)C2)c2n[nH]c3cccc(F)c23)cc1OC
262	COCc1n[nH]c(n1)-c1ccc(NC(=O)c2[nH]nc3CCCc23)cc1
263	Brc1ccc2ccn(CCC(=O)NCCc3nnc4ccccn34)c2c1
264	CC(C)n1ccc2ccc(cc12)C(=O)N[C@H]1C[NH+]2CCC1CC2
265	COCc1nnc(NC(=O)CCn2c(C)cc([O-])cc2=O)s1
266	Fc1cccc2[nH]nc(N3C[C@H](CC3=O)C(=O)NCc3ccco3)c12
267	COC(=O)CNC(=O)[C@H]1[C@@H](N(C)C(=O)c2ccccc12)c1ccc(OC)cc1
268	COC(=O)CNC(=O)[C@@H]1[C@@H](N(C)C(=O)c2ccccc12)c1ccc(OC)cc1
269	COc1ccc(CCC(=O)Nc2ccc3[nH]c(nc3c2)-c2cccnc2)cc1OC
270	Cc1nn(C)c(C)c1CNC(=O)c1cnn(c1-n1cccc1)-c1ccccc1C
271	OC1=Nc2ccccc2C(=O)N[C@H]1CC(=O)Nc1nnc(s1)[C@H]1CCCO1
272	CCOC(=O)c1[nH]c(C)c(C(=O)N2CCN(CC2)C(=O)[C@H]2COc3ccccc3O2)c1C
273	Cc1nn(C)c(C)c1-c1cc(n[nH]1)C(=O)NCCc1nccs1
274	C[C@H](C(=O)NCCc1nnc2ccccn12)c1ccc(C[C@@H]2CCCC2=O)cc1
275	C[C@H](C(=O)NCCc1nnc2ccccn12)c1ccc(C[C@H]2CCCC2=O)cc1
276	C[C@@H](C(=O)NCCc1nnc2ccccn12)c1ccc(C[C@H]2CCCC2=O)cc1
277	COC(=O)c1[nH]\c(=N\C(=O)c2n[nH]c3CCCCc23)sc1CCc1ccccc1
278	Cc1cc(=O)c(OCC(=O)NC[C@H](c2c[nH]c3ccccc23)c2ccccc2)c[nH]1
279	CC(C)n1ccc2c(cccc12)C(=O)NCCCN1CCOCC1
280	COc1ccc(nn1)N1CCC(CC1)C(=O)NCCc1c[nH]c2ccc(Cl)cc12
281	COC(=O)C[C@@H](C(C)C)c1oc(CSc2ccccc2OC)cc(=O)c1O
282	COc1cn(CC(=O)NC2CC2)c(C[NH+]2CCCCCC2)cc1=O
283	COc1cccc2n(CCNC(=O)c3[nH]nc4CCCc34)ccc12
284	COCCn1c(cc2ccccc12)C(=O)N1CCN(CC1)S(=O)(=O)c1ccc(C)cc1
285	O=C(CCCc1ccccc1)Nc1cccc(c1)-c1nnc2ccccn12
286	Cc1nn(C)c(C)c1-c1cc(n[nH]1)C(=O)Nc1n[nH]c(CCc2ccccc2)n1
